dataset,paper_accuracy_mean,our_accuracy_mean,difference,abs_difference
ACSF1,0.886,0.8729999999999999,-0.013000000000000123,0.013000000000000123
Adiac,0.78337596,0.7851662404092072,0.0017902804092072566,0.0017902804092072566
AllGestureWiimoteX,0.79,0.7301428571428572,-0.05985714285714283,0.05985714285714283
AllGestureWiimoteY,0.77271429,0.7285714285714284,-0.0441428614285716,0.0441428614285716
AllGestureWiimoteZ,0.76614286,0.7082857142857143,-0.057857145714285685,0.057857145714285685
ArrowHead,0.81428571,0.8068571428571429,-0.007428567142857112,0.007428567142857112
BME,1.0,1.0,0.0,0.0
Beef,0.83333333,0.7966666666666666,-0.03666666333333335,0.03666666333333335
BeetleFly,0.9,0.8950000000000001,-0.004999999999999893,0.004999999999999893
BirdChicken,0.9,0.9,0.0,0.0
CBF,1.0,1.0,0.0,0.0
Car,0.84666667,0.8916666666666666,0.04499999666666665,0.04499999666666665
Chinatown,0.98250729,0.9825072886297376,-1.3702624590550272e-09,1.3702624590550272e-09
ChlorineConcentration,0.81453125,0.8132031249999999,-0.0013281250000001243,0.0013281250000001243
CinCECGTorso,0.83615942,0.8379710144927536,0.0018115944927535876,0.0018115944927535876
Coffee,1.0,1.0,0.0,0.0
Computers,0.7612,0.7724,0.011199999999999988,0.011199999999999988
CricketX,0.81948718,0.8179487179487179,-0.0015384620512820524,0.0015384620512820524
CricketY,0.85230769,0.8507692307692307,-0.001538459230769229,0.001538459230769229
CricketZ,0.85589744,0.8523076923076923,-0.0035897476923076876,0.0035897476923076876
Crop,0.75134524,0.7787976190476191,0.027452379047619102,0.027452379047619102
DiatomSizeReduction,0.96993464,0.9735294117647058,0.0035947717647057953,0.0035947717647057953
DistalPhalanxOutlineAgeGroup,0.75899281,0.7410071942446044,-0.01798561575539559,0.01798561575539559
DistalPhalanxOutlineCorrect,0.76956522,0.7601449275362319,-0.009420292463768187,0.009420292463768187
DistalPhalanxTW,0.71870504,0.6935251798561151,-0.025179860143884958,0.025179860143884958
DodgerLoopDay,0.5725,0.53,-0.04249999999999998,0.04249999999999998
DodgerLoopGame,0.87318841,0.8681159420289856,-0.0050724679710144605,0.0050724679710144605
DodgerLoopWeekend,0.97463768,0.9637681159420289,-0.010869564057971015,0.010869564057971015
ECG200,0.906,0.917,0.01100000000000001,0.01100000000000001
ECG5000,0.94715556,0.9473111111111111,0.00015555111111109632,0.00015555111111109632
ECGFiveDays,1.0,1.0,0.0,0.0
EOGHorizontalSignal,0.63895028,0.5853591160220994,-0.053591163977900536,0.053591163977900536
EOGVerticalSignal,0.54143646,0.5472375690607735,0.005801109060773468,0.005801109060773468
Earthquakes,0.74820144,0.7568345323741006,0.008633092374100593,0.008633092374100593
ElectricDevices,0.72941253,0.7294254960446116,1.2966044611650851e-05,1.2966044611650851e-05
EthanolLevel,0.5828,0.59,0.007199999999999984,0.007199999999999984
FaceAll,0.94650888,0.9455029585798815,-0.0010059214201184608,0.0010059214201184608
FaceFour,0.97727273,0.975,-0.002272730000000056,0.002272730000000056
FacesUCR,0.96141463,0.9614634146341462,4.878463414614842e-05,4.878463414614842e-05
FiftyWords,0.83032967,0.8285714285714285,-0.0017582414285715053,0.0017582414285715053
Fish,0.97942857,0.9817142857142857,0.0022857157142855966,0.0022857157142855966
FordA,0.94439394,0.9365151515151517,-0.007878788484848243,0.007878788484848243
FordB,0.80506173,0.798395061728395,-0.006666668271605003,0.006666668271605003
FreezerRegularTrain,0.99761404,0.9975789473684211,-3.509263157885911e-05,3.509263157885911e-05
FreezerSmallTrain,0.94957895,0.9503859649122808,0.0008070149122807457,0.0008070149122807457
Fungi,1.0,1.0,0.0,0.0
GestureMidAirD1,0.71692308,0.7769230769230769,0.05999999692307689,0.05999999692307689
GestureMidAirD2,0.66076923,0.6615384615384616,0.0007692315384616455,0.0007692315384616455
GestureMidAirD3,0.41461538,0.4838461538461539,0.06923077384615395,0.06923077384615395
GesturePebbleZ1,0.90581395,0.8970930232558141,-0.008720926744185897,0.008720926744185897
GesturePebbleZ2,0.83037975,0.7981012658227847,-0.03227848417721524,0.03227848417721524
GunPoint,1.0,1.0,0.0,0.0
GunPointAgeSpan,0.99683544,0.9901898734177215,-0.00664556658227855,0.00664556658227855
GunPointMaleVersusFemale,0.99841772,0.9984177215189873,1.5189873803223009e-09,1.5189873803223009e-09
GunPointOldVersusYoung,0.99111111,1.0,0.008888890000000038,0.008888890000000038
Ham,0.72571429,0.7219047619047618,-0.003809528095238157,0.003809528095238157
HandOutlines,0.94243243,0.9435135135135135,0.0010810835135135477,0.0010810835135135477
Haptics,0.52402597,0.5337662337662338,0.009740263766233825,0.009740263766233825
Herring,0.6921875,0.6171875,-0.07499999999999996,0.07499999999999996
HouseTwenty,0.96386555,0.9655462184873949,0.0016806684873948985,0.0016806684873948985
InlineSkate,0.45690909,0.4727272727272728,0.015818182727272756,0.015818182727272756
InsectEPGRegularTrain,1.0,1.0,0.0,0.0
InsectEPGSmallTrain,0.97911647,1.0,0.020883529999999983,0.020883529999999983
InsectWingbeatSound,0.65681818,0.6652020202020201,0.008383840202020099,0.008383840202020099
ItalyPowerDemand,0.96958212,0.968901846452867,-0.0006802735471329591,0.0006802735471329591
LargeKitchenAppliances,0.90053333,0.8989333333333335,-0.0015999966666665477,0.0015999966666665477
Lightning2,0.75901639,0.7885245901639344,0.029508200163934406,0.029508200163934406
Lightning7,0.82328767,0.8232876712328767,1.2328766896274601e-09,1.2328766896274601e-09
Mallat,0.95594883,0.9559914712153518,4.2641215351801875e-05,4.2641215351801875e-05
Meat,0.94833333,0.9499999999999998,0.0016666699999998702,0.0016666699999998702
MedicalImages,0.79947368,0.7961842105263157,-0.003289469473684248,0.003289469473684248
MelbournePedestrian,0.90438704,0.9421484214842148,0.03776138148421482,0.03776138148421482
MiddlePhalanxOutlineAgeGroup,0.59025974,0.5636363636363636,-0.02662337636363643,0.02662337636363643
MiddlePhalanxOutlineCorrect,0.83848797,0.8333333333333333,-0.005154636666666712,0.005154636666666712
MiddlePhalanxTW,0.56038961,0.5519480519480519,-0.008441558051948128,0.008441558051948128
MixedShapesRegularTrain,0.97105155,0.9712577319587631,0.00020618195876309642,0.00020618195876309642
MixedShapesSmallTrain,0.9382268,0.9382268041237113,4.123711261350138e-09,4.123711261350138e-09
MoteStrain,0.91461661,0.9158146964856231,0.0011980864856230289,0.0011980864856230289
NonInvasiveFetalECGThorax1,0.9529771,0.9567938931297709,0.0038167931297709012,0.0038167931297709012
NonInvasiveFetalECGThorax2,0.96905852,0.9676844783715014,-0.0013740416284986345,0.0013740416284986345
OSULeaf,0.94090909,0.9400826446280991,-0.0008264453719009079,0.0008264453719009079
OliveOil,0.91666667,0.9200000000000002,0.0033333300000001342,0.0033333300000001342
PLAID,0.90260708,0.7497206703910615,-0.1528864096089385,0.1528864096089385
PhalangesOutlinesCorrect,0.83426573,0.8381118881118882,0.003846158111888154,0.003846158111888154
Phoneme,0.27985232,0.28175105485232066,0.0018987348523206715,0.0018987348523206715
PickupGestureWiimoteZ,0.83,0.79,-0.039999999999999925,0.039999999999999925
PigAirwayPressure,0.09519231,0.8057692307692308,0.7105769207692307,0.7105769207692307
PigArtPressure,0.95384615,0.9572115384615385,0.0033653884615385543,0.0033653884615385543
PigCVP,0.93413462,0.9326923076923078,-0.0014423123076922062,0.0014423123076922062
Plane,1.0,1.0,0.0,0.0
PowerCons,0.94,0.9833333333333332,0.043333333333333224,0.043333333333333224
ProximalPhalanxOutlineAgeGroup,0.85560976,0.8570731707317073,0.0014634107317073042,0.0014634107317073042
ProximalPhalanxOutlineCorrect,0.89896907,0.90446735395189,0.005498283951890004,0.005498283951890004
ProximalPhalanxTW,0.81658537,0.802439024390244,-0.014146345609756028,0.014146345609756028
RefrigerationDevices,0.53733333,0.5373333333333333,3.3333332760676626e-09,3.3333332760676626e-09
Rock,0.9,0.6759999999999999,-0.2240000000000001,0.2240000000000001
ScreenType,0.48533333,0.4824,-0.0029333300000000118,0.0029333300000000118
