,dataset,classifier,accuracy_mean,accuracy_std,train_time_mean
0,ACSF1,LinearSVC,0.87,,366.3042532999825
1,ACSF1,LogisticRegression,0.91,,0.9109948999830522
2,ACSF1,RandomForest,0.89,,0.09181800001533702
3,ACSF1,RidgeCV (baseline),0.88,,0.0309609999821987
4,Adiac,LinearSVC,0.7902813299232737,,5501.931650499988
5,Adiac,LogisticRegression,0.8260869565217391,,2.8239215999783482
6,Adiac,RandomForest,0.8005115089514067,,0.2436232000181917
7,Adiac,RidgeCV (baseline),0.7902813299232737,,0.14061830000719056
8,AllGestureWiimoteX,LinearSVC,0.7471428571428571,,1111.338463299995
9,AllGestureWiimoteX,LogisticRegression,0.7571428571428571,,2.4799227000039537
10,AllGestureWiimoteX,RandomForest,0.68,,0.13500639999983832
11,AllGestureWiimoteX,RidgeCV (baseline),0.7414285714285714,,0.10324470000341535
12,AllGestureWiimoteY,LinearSVC,0.7442857142857143,,1227.7193401000113
13,AllGestureWiimoteY,LogisticRegression,0.7257142857142858,,1.453068999981042
14,AllGestureWiimoteY,RandomForest,0.6871428571428572,,0.1436544999887701
15,AllGestureWiimoteY,RidgeCV (baseline),0.73,,0.10727060001227073
16,AllGestureWiimoteZ,LinearSVC,0.7228571428571429,,1397.8371405999933
17,AllGestureWiimoteZ,LogisticRegression,0.73,,1.5118872000020929
18,AllGestureWiimoteZ,RandomForest,0.6728571428571428,,0.13687069999286905
19,AllGestureWiimoteZ,RidgeCV (baseline),0.71,,0.10054280000622384
20,ArrowHead,LinearSVC,0.7771428571428571,,0.19021269999211654
21,ArrowHead,LogisticRegression,0.8228571428571428,,0.07138840001425706
22,ArrowHead,RandomForest,0.7657142857142857,,0.07842019997769967
23,ArrowHead,RidgeCV (baseline),0.8,,0.009644800011301413
24,BME,LinearSVC,0.9933333333333333,,0.08160659999703057
25,BME,LogisticRegression,0.9933333333333333,,0.04480780000449158
26,BME,RandomForest,0.9933333333333333,,0.07442639998043887
27,BME,RidgeCV (baseline),1.0,,0.008509599982062355
28,Beef,LinearSVC,0.7666666666666667,,12.697668499982683
29,Beef,LogisticRegression,0.7666666666666667,,0.2468022000102792
30,Beef,RandomForest,0.8333333333333334,,0.06991849999758415
31,Beef,RidgeCV (baseline),0.8333333333333334,,0.008081199979642406
32,BeetleFly,LinearSVC,0.9,,0.019335999997565523
33,BeetleFly,LogisticRegression,0.9,,0.03973370001767762
34,BeetleFly,RandomForest,0.9,,0.06277349998708814
35,BeetleFly,RidgeCV (baseline),0.9,,0.0062618000083602965
36,BirdChicken,LinearSVC,0.9,,0.017350399983115494
37,BirdChicken,LogisticRegression,0.9,,0.04779549999511801
38,BirdChicken,RandomForest,0.9,,0.06478729998343624
39,BirdChicken,RidgeCV (baseline),0.9,,0.005987400014419109
40,CBF,LinearSVC,0.9977777777777778,,0.08492069999920204
41,CBF,LogisticRegression,0.99,,0.02198979997774586
42,CBF,RandomForest,0.9977777777777778,,0.07564029999775812
43,CBF,RidgeCV (baseline),1.0,,0.008607299998402596
44,Car,LinearSVC,0.8833333333333333,,0.4900154999922961
45,Car,LogisticRegression,0.8833333333333333,,0.07791100000031292
46,Car,RandomForest,0.85,,0.08080570001038723
47,Car,RidgeCV (baseline),0.9,,0.015173799998592585
48,Chinatown,LinearSVC,0.9795918367346939,,0.013959000003524125
49,Chinatown,LogisticRegression,0.9825072886297376,,0.04062440001871437
50,Chinatown,RandomForest,0.9795918367346939,,0.05791279999539256
51,Chinatown,RidgeCV (baseline),0.9825072886297376,,0.006447399995522574
52,ChlorineConcentration,LinearSVC,0.8114583333333333,,292.8011916000105
53,ChlorineConcentration,LogisticRegression,0.8010416666666667,,2.2587186000018846
54,ChlorineConcentration,RandomForest,0.6794270833333333,,0.22919239997281693
55,ChlorineConcentration,RidgeCV (baseline),0.8140625,,0.16381870000623167
56,CinCECGTorso,LinearSVC,0.8028985507246377,,5.351639800006524
57,CinCECGTorso,LogisticRegression,0.7963768115942029,,0.23010610000346787
58,CinCECGTorso,RandomForest,0.7521739130434782,,0.06934639997780323
59,CinCECGTorso,RidgeCV (baseline),0.8376811594202899,,0.011096100002760068
60,Coffee,LinearSVC,1.0,,0.021474599983775988
61,Coffee,LogisticRegression,0.9642857142857143,,0.01772569998865947
62,Coffee,RandomForest,1.0,,0.06255480000982061
63,Coffee,RidgeCV (baseline),1.0,,0.007910499989520758
64,Computers,LinearSVC,0.78,,0.4300689999945462
65,Computers,LogisticRegression,0.792,,0.3467254999850411
66,Computers,RandomForest,0.724,,0.1253910000086762
67,Computers,RidgeCV (baseline),0.78,,0.08323910000035539
68,CricketX,LinearSVC,0.7974358974358975,,3021.4094183999987
69,CricketX,LogisticRegression,0.7666666666666667,,0.5912649999954738
70,CricketX,RandomForest,0.6948717948717948,,0.1916802000196185
71,CricketX,RidgeCV (baseline),0.823076923076923,,0.14496050000889227
72,CricketY,LinearSVC,0.8102564102564103,,3550.6503915000067
73,CricketY,LogisticRegression,0.8102564102564103,,0.6097804000019096
74,CricketY,RandomForest,0.6871794871794872,,0.1811118999903556
75,CricketY,RidgeCV (baseline),0.8461538461538461,,0.1432001999928616
76,CricketZ,LinearSVC,0.8487179487179487,,3106.5809234000044
77,CricketZ,LogisticRegression,0.8076923076923077,,0.6015859000035562
78,CricketZ,RandomForest,0.7615384615384615,,0.17371489998186007
79,CricketZ,RidgeCV (baseline),0.8564102564102564,,0.13220500000170432
80,Crop,LinearSVC,0.7744642857142857,,22890.417572099977
81,Crop,LogisticRegression,0.7779166666666667,,15.738414199993713
82,Crop,RandomForest,0.7569047619047619,,3.3456454999977723
83,Crop,RidgeCV (baseline),0.7777380952380952,,13.863994899991667
84,DiatomSizeReduction,LinearSVC,0.9575163398692811,,0.5669206000166014
85,DiatomSizeReduction,LogisticRegression,0.9771241830065359,,0.09320610002032481
86,DiatomSizeReduction,RandomForest,0.8856209150326797,,0.07113070000195876
87,DiatomSizeReduction,RidgeCV (baseline),0.9771241830065359,,0.0058185000088997185
88,DistalPhalanxOutlineAgeGroup,LinearSVC,0.697841726618705,,148.36454260000028
89,DistalPhalanxOutlineAgeGroup,LogisticRegression,0.7338129496402878,,1.2378724000009242
90,DistalPhalanxOutlineAgeGroup,RandomForest,0.7122302158273381,,0.1537831999885384
91,DistalPhalanxOutlineAgeGroup,RidgeCV (baseline),0.7266187050359713,,0.15969589998712763
92,DistalPhalanxOutlineCorrect,LinearSVC,0.782608695652174,,0.9195624999993015
93,DistalPhalanxOutlineCorrect,LogisticRegression,0.7789855072463768,,0.9827666000055615
94,DistalPhalanxOutlineCorrect,RandomForest,0.8043478260869565,,0.2042807000107132
95,DistalPhalanxOutlineCorrect,RidgeCV (baseline),0.7644927536231884,,0.23442570000770502
96,DistalPhalanxTW,LinearSVC,0.6906474820143885,,741.3814731000166
97,DistalPhalanxTW,LogisticRegression,0.697841726618705,,0.59156410000287
98,DistalPhalanxTW,RandomForest,0.6762589928057554,,0.15222170000197366
99,DistalPhalanxTW,RidgeCV (baseline),0.6834532374100719,,0.14193059998797253
100,DodgerLoopDay,LinearSVC,0.5,,104.81416910002008
101,DodgerLoopDay,LogisticRegression,0.525,,0.20261589999427088
102,DodgerLoopDay,RandomForest,0.5375,,0.09125789999961853
103,DodgerLoopDay,RidgeCV (baseline),0.5375,,0.021466700010932982
104,DodgerLoopGame,LinearSVC,0.8768115942028986,,0.03973489999771118
105,DodgerLoopGame,LogisticRegression,0.855072463768116,,0.054342799994628876
106,DodgerLoopGame,RandomForest,0.8985507246376812,,0.0667791000159923
107,DodgerLoopGame,RidgeCV (baseline),0.8623188405797102,,0.006110199989052489
108,DodgerLoopWeekend,LinearSVC,0.9637681159420289,,0.03745959998923354
109,DodgerLoopWeekend,LogisticRegression,0.9637681159420289,,0.044109400012530386
110,DodgerLoopWeekend,RandomForest,0.9710144927536232,,0.07065789998159744
111,DodgerLoopWeekend,RidgeCV (baseline),0.9637681159420289,,0.006118300021626055
112,ECG200,LinearSVC,0.9,,0.13915040000574663
113,ECG200,LogisticRegression,0.91,,0.22212500000023283
114,ECG200,RandomForest,0.89,,0.08005260000936687
115,ECG200,RidgeCV (baseline),0.92,,0.02819510002154857
116,ECG5000,LinearSVC,0.9326666666666666,,1078.5951275000116
117,ECG5000,LogisticRegression,0.946,,0.3748067999840714
118,ECG5000,RandomForest,0.9382222222222222,,0.17063079998479225
119,ECG5000,RidgeCV (baseline),0.9473333333333334,,0.168529300019145
120,ECGFiveDays,LinearSVC,0.9988385598141696,,0.018890200008172542
121,ECGFiveDays,LogisticRegression,1.0,,0.08734550001099706
122,ECGFiveDays,RandomForest,0.9802555168408827,,0.06218490001629107
123,ECGFiveDays,RidgeCV (baseline),1.0,,0.00737249999656342
124,EOGHorizontalSignal,LinearSVC,0.6464088397790055,,2474.3821427999937
125,EOGHorizontalSignal,LogisticRegression,0.6049723756906077,,1.1968486999976449
126,EOGHorizontalSignal,RandomForest,0.5,,0.16258530001505278
127,EOGHorizontalSignal,RidgeCV (baseline),0.5994475138121547,,0.14081830001669005
128,EOGVerticalSignal,LinearSVC,0.5386740331491713,,2249.4770694999897
129,EOGVerticalSignal,LogisticRegression,0.48066298342541436,,0.9974142000137363
130,EOGVerticalSignal,RandomForest,0.4005524861878453,,0.18241919999127276
131,EOGVerticalSignal,RidgeCV (baseline),0.5607734806629834,,0.13774109998485073
132,Earthquakes,LinearSVC,0.6690647482014388,,1.60745529999258
133,Earthquakes,LogisticRegression,0.7410071942446043,,0.506810899998527
134,Earthquakes,RandomForest,0.7482014388489209,,0.1470837999950163
135,Earthquakes,RidgeCV (baseline),0.7482014388489209,,0.12488210000446998
136,ElectricDevices,LinearSVC,0.677992478277785,,6204.081353299989
137,ElectricDevices,LogisticRegression,0.6977045778757619,,60.564454200008186
138,ElectricDevices,RandomForest,0.7270133575411749,,4.302630300022429
139,ElectricDevices,RidgeCV (baseline),0.7289586305278174,,24.669716299977154
140,EthanolLevel,LinearSVC,0.59,,833.9624233000213
141,EthanolLevel,LogisticRegression,0.64,,2.088245299994014
142,EthanolLevel,RandomForest,0.56,,0.2002935000055004
143,EthanolLevel,RidgeCV (baseline),0.604,,0.16196789999958128
144,FaceAll,LinearSVC,0.7514792899408284,,1953.5519052000018
145,FaceAll,LogisticRegression,0.770414201183432,,0.2374714000034146
146,FaceAll,RandomForest,0.7497041420118343,,0.23598840000340715
147,FaceAll,RidgeCV (baseline),0.9408284023668639,,0.19645230000605807
148,FaceFour,LinearSVC,0.9545454545454546,,0.8713463000021875
149,FaceFour,LogisticRegression,0.9772727272727273,,0.08074829998076893
150,FaceFour,RandomForest,0.875,,0.07177400001091883
151,FaceFour,RidgeCV (baseline),0.9772727272727273,,0.007283300015842542
152,FacesUCR,LinearSVC,0.9039024390243903,,964.4024225999892
153,FacesUCR,LogisticRegression,0.8858536585365854,,0.18002010000054725
154,FacesUCR,RandomForest,0.8604878048780488,,0.12452369998209178
