,dataset,config,accuracy_mean,accuracy_std,mean_time
0,ACSF1,baseline_1x10000,0.87,,1.0353084999951534
1,ACSF1,ensemble_3x5000,0.88,,1.5848036000388674
2,ACSF1,ensemble_5x2000,0.87,,1.0939502000110224
3,ACSF1,ensemble_5x5000,0.91,,2.652010900026653
4,Adiac,baseline_1x10000,0.7851662404092071,,0.6448678000015207
5,Adiac,ensemble_3x5000,0.7851662404092071,,1.022840699995868
6,Adiac,ensemble_5x2000,0.7851662404092071,,0.9129666999797337
7,Adiac,ensemble_5x5000,0.7902813299232737,,1.7332499999902211
8,AllGestureWiimoteX,baseline_1x10000,0.7271428571428571,,1.75277029996505
9,AllGestureWiimoteX,ensemble_3x5000,0.7014285714285714,,2.6634959999937564
10,AllGestureWiimoteX,ensemble_5x2000,0.7257142857142858,,1.8373304000124335
11,AllGestureWiimoteX,ensemble_5x5000,0.6971428571428572,,4.401762800000142
12,AllGestureWiimoteY,baseline_1x10000,0.7314285714285714,,1.767113399982918
13,AllGestureWiimoteY,ensemble_3x5000,0.7457142857142857,,2.692267599981278
14,AllGestureWiimoteY,ensemble_5x2000,0.7271428571428571,,1.8404063999769278
15,AllGestureWiimoteY,ensemble_5x5000,0.7357142857142858,,4.406102299981285
16,AllGestureWiimoteZ,baseline_1x10000,0.7114285714285714,,1.752518900029827
17,AllGestureWiimoteZ,ensemble_3x5000,0.7,,2.662421800021548
18,AllGestureWiimoteZ,ensemble_5x2000,0.7014285714285714,,1.834527600032743
19,AllGestureWiimoteZ,ensemble_5x5000,0.7085714285714285,,4.423461799975485
20,ArrowHead,baseline_1x10000,0.8,,0.2147899999981746
21,ArrowHead,ensemble_3x5000,0.8,,0.32304510002722964
22,ArrowHead,ensemble_5x2000,0.8,,0.22538519999943674
23,ArrowHead,ensemble_5x5000,0.8114285714285714,,0.5551615000003949
24,BME,baseline_1x10000,1.0,,0.11709879996487871
25,BME,ensemble_3x5000,1.0,,0.18802750000031665
26,BME,ensemble_5x2000,1.0,,0.11534600000595674
27,BME,ensemble_5x5000,1.0,,0.29734820005251095
28,Beef,baseline_1x10000,0.8,,0.14586899999994785
29,Beef,ensemble_3x5000,0.8,,0.22033479996025562
30,Beef,ensemble_5x2000,0.8333333333333334,,0.14396890002535656
31,Beef,ensemble_5x5000,0.8,,0.3611085999873467
32,BeetleFly,baseline_1x10000,0.9,,0.08486799994716421
33,BeetleFly,ensemble_3x5000,0.9,,0.13639509998029098
34,BeetleFly,ensemble_5x2000,0.9,,0.08767809998244047
35,BeetleFly,ensemble_5x5000,0.9,,0.21924700000090525
36,BirdChicken,baseline_1x10000,0.9,,0.09155690000625327
37,BirdChicken,ensemble_3x5000,0.9,,0.13763579999795184
38,BirdChicken,ensemble_5x2000,0.9,,0.08766449999529868
39,BirdChicken,ensemble_5x5000,0.9,,0.2232607000041753
40,CBF,baseline_1x10000,1.0,,0.5019354000105523
41,CBF,ensemble_3x5000,1.0,,0.7855589999817312
42,CBF,ensemble_5x2000,1.0,,0.5290494000073522
43,CBF,ensemble_5x5000,1.0,,1.27328739996301
44,Car,baseline_1x10000,0.9,,0.2733288000454195
45,Car,ensemble_3x5000,0.8833333333333333,,0.41069540003081784
46,Car,ensemble_5x2000,0.8833333333333333,,0.2847734999959357
47,Car,ensemble_5x5000,0.9,,0.6861983999842778
48,Chinatown,baseline_1x10000,0.9825072886297376,,0.0875201000017114
49,Chinatown,ensemble_3x5000,0.9825072886297376,,0.14255520002916455
50,Chinatown,ensemble_5x2000,0.9825072886297376,,0.09693999995943159
51,Chinatown,ensemble_5x5000,0.9825072886297376,,0.238904099969659
52,ChlorineConcentration,baseline_1x10000,0.8197916666666667,,2.671181300014723
53,ChlorineConcentration,ensemble_3x5000,0.8018229166666667,,4.219805200002156
54,ChlorineConcentration,ensemble_5x2000,0.7700520833333333,,3.113517599995248
55,ChlorineConcentration,ensemble_5x5000,0.803125,,6.997463399951812
56,CinCECGTorso,baseline_1x10000,0.8471014492753624,,7.087398799951188
57,CinCECGTorso,ensemble_3x5000,0.8398550724637681,,10.71345849998761
58,CinCECGTorso,ensemble_5x2000,0.827536231884058,,7.175313299987465
59,CinCECGTorso,ensemble_5x5000,0.8311594202898551,,17.806290700042155
60,Coffee,baseline_1x10000,1.0,,0.09127899998566136
61,Coffee,ensemble_3x5000,1.0,,0.13954390003345907
62,Coffee,ensemble_5x2000,1.0,,0.0945806999807246
63,Coffee,ensemble_5x5000,1.0,,0.23442570003680885
64,Computers,baseline_1x10000,0.784,,1.2395900000119582
65,Computers,ensemble_3x5000,0.78,,1.9057338000275195
66,Computers,ensemble_5x2000,0.78,,1.315643900015857
67,Computers,ensemble_5x5000,0.76,,3.120893499988597
68,CricketX,baseline_1x10000,0.8205128205128205,,0.9284739000140689
69,CricketX,ensemble_3x5000,0.8179487179487179,,1.4684355999925174
70,CricketX,ensemble_5x2000,0.7948717948717948,,1.2143232999951579
71,CricketX,ensemble_5x5000,0.8205128205128205,,2.4168327000224963
72,CricketY,baseline_1x10000,0.8487179487179487,,0.9339222999988124
73,CricketY,ensemble_3x5000,0.8487179487179487,,1.4372504000202753
74,CricketY,ensemble_5x2000,0.841025641025641,,1.2713960999972187
75,CricketY,ensemble_5x5000,0.8487179487179487,,2.4269824999500997
76,CricketZ,baseline_1x10000,0.8487179487179487,,0.9180338000296615
77,CricketZ,ensemble_3x5000,0.8538461538461538,,1.4354322999715805
78,CricketZ,ensemble_5x2000,0.8461538461538461,,1.2175401999847963
79,CricketZ,ensemble_5x5000,0.8589743589743589,,2.4089434999623336
80,Crop,baseline_1x10000,0.7772023809523809,,18.994309000030626
81,Crop,ensemble_3x5000,0.771547619047619,,45.332154500007164
82,Crop,ensemble_5x2000,0.7532142857142857,,72.34401200001594
83,Crop,ensemble_5x5000,0.7720833333333333,,75.45989100000588
84,DiatomSizeReduction,baseline_1x10000,0.9771241830065359,,0.4387687999987975
85,DiatomSizeReduction,ensemble_3x5000,0.9673202614379085,,0.6005552999558859
86,DiatomSizeReduction,ensemble_5x2000,0.9771241830065359,,0.4289293000474572
87,DiatomSizeReduction,ensemble_5x5000,0.9771241830065359,,0.992479300010018
88,DistalPhalanxOutlineAgeGroup,baseline_1x10000,0.7410071942446043,,0.336143400054425
89,DistalPhalanxOutlineAgeGroup,ensemble_3x5000,0.7553956834532374,,0.5892214000341482
90,DistalPhalanxOutlineAgeGroup,ensemble_5x2000,0.7338129496402878,,0.5058106000069529
91,DistalPhalanxOutlineAgeGroup,ensemble_5x5000,0.7482014388489209,,0.9368080000276677
92,DistalPhalanxOutlineCorrect,baseline_1x10000,0.7717391304347826,,0.5184808000340126
93,DistalPhalanxOutlineCorrect,ensemble_3x5000,0.7789855072463768,,0.9472418999648653
94,DistalPhalanxOutlineCorrect,ensemble_5x2000,0.7717391304347826,,0.9834447000175714
95,DistalPhalanxOutlineCorrect,ensemble_5x5000,0.7753623188405797,,1.5457369000068866
96,DistalPhalanxTW,baseline_1x10000,0.697841726618705,,0.32182579999789596
97,DistalPhalanxTW,ensemble_3x5000,0.7050359712230215,,0.5608231999794953
98,DistalPhalanxTW,ensemble_5x2000,0.6834532374100719,,0.6125486000091769
99,DistalPhalanxTW,ensemble_5x5000,0.7122302158273381,,0.9251329000107944
100,DodgerLoopDay,baseline_1x10000,0.5125,,0.2172483000322245
101,DodgerLoopDay,ensemble_3x5000,0.55,,0.3005835000076331
102,DodgerLoopDay,ensemble_5x2000,0.525,,0.21332989999791607
103,DodgerLoopDay,ensemble_5x5000,0.5375,,0.519958300050348
104,DodgerLoopGame,baseline_1x10000,0.8623188405797102,,0.16893329995218664
105,DodgerLoopGame,ensemble_3x5000,0.8695652173913043,,0.25783529999898747
106,DodgerLoopGame,ensemble_5x2000,0.8695652173913043,,0.1775340000167489
107,DodgerLoopGame,ensemble_5x5000,0.8768115942028986,,0.42807269998593256
108,DodgerLoopWeekend,baseline_1x10000,0.9637681159420289,,0.1701823000330478
109,DodgerLoopWeekend,ensemble_3x5000,0.9637681159420289,,0.2664475000347011
110,DodgerLoopWeekend,ensemble_5x2000,0.9637681159420289,,0.18084709998220205
111,DodgerLoopWeekend,ensemble_5x5000,0.9637681159420289,,0.4359110000077635
112,ECG200,baseline_1x10000,0.91,,0.11865910002961755
113,ECG200,ensemble_3x5000,0.92,,0.18065409996779636
114,ECG200,ensemble_5x2000,0.91,,0.14153739996254444
115,ECG200,ensemble_5x5000,0.92,,0.296584099996835
116,ECG5000,baseline_1x10000,0.9473333333333334,,2.7203081999905407
117,ECG5000,ensemble_3x5000,0.948,,4.343240599962883
118,ECG5000,ensemble_5x2000,0.946,,3.19401639996795
119,ECG5000,ensemble_5x5000,0.9475555555555556,,7.146306000009645
120,ECGFiveDays,baseline_1x10000,1.0,,0.4899534999858588
121,ECGFiveDays,ensemble_3x5000,1.0,,0.761917199997697
122,ECGFiveDays,ensemble_5x2000,1.0,,0.5079627999803051
123,ECGFiveDays,ensemble_5x5000,1.0,,1.2512880000285804
124,EOGHorizontalSignal,baseline_1x10000,0.5828729281767956,,2.9593496000161394
125,EOGHorizontalSignal,ensemble_3x5000,0.5883977900552486,,4.431315800000448
126,EOGHorizontalSignal,ensemble_5x2000,0.5773480662983426,,3.1519835999934003
127,EOGHorizontalSignal,ensemble_5x5000,0.5773480662983426,,7.517526899988297
128,EOGVerticalSignal,baseline_1x10000,0.5552486187845304,,2.94707880000351
129,EOGVerticalSignal,ensemble_3x5000,0.5441988950276243,,4.51388099999167
130,EOGVerticalSignal,ensemble_5x2000,0.5441988950276243,,3.167285500036087
131,EOGVerticalSignal,ensemble_5x5000,0.5414364640883977,,7.464796699990984
132,Earthquakes,baseline_1x10000,0.7482014388489209,,0.8759842999861576
133,Earthquakes,ensemble_3x5000,0.7482014388489209,,1.3582550999708474
134,Earthquakes,ensemble_5x2000,0.7482014388489209,,0.9886283000232652
135,Earthquakes,ensemble_5x5000,0.7553956834532374,,2.254159800009802
136,ElectricDevices,baseline_1x10000,0.726235248346518,,30.370150599977933
137,ElectricDevices,ensemble_3x5000,0.7316820127091168,,77.91521399997873
138,ElectricDevices,ensemble_5x2000,0.7324601219037739,,52.34415100002661
139,ElectricDevices,ensemble_5x5000,0.7377772014005965,,130.02697810000973
140,EthanolLevel,baseline_1x10000,0.576,,5.496350500034168
141,EthanolLevel,ensemble_3x5000,0.582,,8.39046970003983
142,EthanolLevel,ensemble_5x2000,0.582,,5.983211599988863
143,EthanolLevel,ensemble_5x5000,0.59,,13.919149100023787
144,FaceAll,baseline_1x10000,0.9479289940828403,,1.3210805000271648
145,FaceAll,ensemble_3x5000,0.9491124260355029,,2.170627399988007
146,FaceAll,ensemble_5x2000,0.9449704142011834,,1.723025500017684
147,FaceAll,ensemble_5x5000,0.9461538461538461,,3.5815717999939807
148,FaceFour,baseline_1x10000,0.9772727272727273,,0.15020219999132678
149,FaceFour,ensemble_3x5000,0.9772727272727273,,0.22666690003825352
150,FaceFour,ensemble_5x2000,0.9772727272727273,,0.15626999997766688
151,FaceFour,ensemble_5x5000,0.9772727272727273,,0.37819560000207275
152,FacesUCR,baseline_1x10000,0.9609756097560975,,1.1737270000157878
153,FacesUCR,ensemble_3x5000,0.9619512195121951,,1.865908199979458
154,FacesUCR,ensemble_5x2000,0.9614634146341463,,1.2800917999702506
155,FacesUCR,ensemble_5x5000,0.9619512195121951,,3.055274999991525
156,FiftyWords,baseline_1x10000,0.8285714285714286,,1.0296198999858461
157,FiftyWords,ensemble_3x5000,0.8241758241758241,,1.6219763000262901
158,FiftyWords,ensemble_5x2000,0.8285714285714286,,1.4359616999863647
159,FiftyWords,ensemble_5x5000,0.8219780219780219,,2.6390122000011615
160,Fish,baseline_1x10000,0.9828571428571429,,0.6123463999829255
161,Fish,ensemble_3x5000,0.9828571428571429,,0.9392615000251681
162,Fish,ensemble_5x2000,0.9771428571428571,,0.6441809000098146
163,Fish,ensemble_5x5000,0.9828571428571429,,1.5674111999687739
164,FordA,baseline_1x10000,0.9378787878787879,,10.278201800014358
165,FordA,ensemble_3x5000,0.9416666666666667,,18.32333350001136
166,FordA,ensemble_5x2000,0.9492424242424242,,17.51883999997517
167,FordA,ensemble_5x5000,0.9454545454545454,,30.27610439999262
168,FordB,baseline_1x10000,0.8074074074074075,,9.443952700006776
169,FordB,ensemble_3x5000,0.8049382716049382,,16.964326400018763
