,dataset,run,threshold,accuracy,num_features_kept,num_features_total,fraction_kept,classifier_train_time
0,ACSF1,0,no_selection (baseline),0.9,20000,20000,1.0,0.029005700023844838
1,ACSF1,0,threshold=0.0,0.9,20000,20000,1.0,0.03497809998225421
2,ACSF1,0,threshold=0.001,0.88,17941,20000,0.89705,0.029912800004240125
3,ACSF1,0,threshold=0.01,0.85,11162,20000,0.5581,0.016724899993278086
4,Adiac,0,no_selection (baseline),0.7800511508951407,20000,20000,1.0,0.1492436999687925
5,Adiac,0,threshold=0.0,0.7800511508951407,19895,20000,0.99475,0.14216879999730736
6,Adiac,0,threshold=0.001,0.8260869565217391,12437,20000,0.62185,0.10179630003403872
7,Adiac,0,threshold=0.01,0.7928388746803069,9340,20000,0.467,0.08458199998131022
8,AllGestureWiimoteX,0,no_selection (baseline),0.73,20000,20000,1.0,0.09905739995883778
9,AllGestureWiimoteX,0,threshold=0.0,0.73,19380,20000,0.969,0.11133450001943856
10,AllGestureWiimoteX,0,threshold=0.001,0.7285714285714285,17834,20000,0.8917,0.10222199995769188
11,AllGestureWiimoteX,0,threshold=0.01,0.66,12476,20000,0.6238,0.0775226999539882
12,AllGestureWiimoteY,0,no_selection (baseline),0.73,20000,20000,1.0,0.09846270002890378
13,AllGestureWiimoteY,0,threshold=0.0,0.73,19233,20000,0.96165,0.11058899998897687
14,AllGestureWiimoteY,0,threshold=0.001,0.7185714285714285,17137,20000,0.85685,0.09963670000433922
15,AllGestureWiimoteY,0,threshold=0.01,0.6871428571428572,12750,20000,0.6375,0.07995749998372048
16,AllGestureWiimoteZ,0,no_selection (baseline),0.7057142857142857,20000,20000,1.0,0.09818529995391145
17,AllGestureWiimoteZ,0,threshold=0.0,0.7057142857142857,18944,20000,0.9472,0.10914329998195171
18,AllGestureWiimoteZ,0,threshold=0.001,0.6985714285714286,16216,20000,0.8108,0.0959080999600701
19,AllGestureWiimoteZ,0,threshold=0.01,0.6571428571428571,12228,20000,0.6114,0.07580089999828488
20,ArrowHead,0,no_selection (baseline),0.8114285714285714,20000,20000,1.0,0.009843099978752434
21,ArrowHead,0,threshold=0.0,0.8114285714285714,19775,20000,0.98875,0.012253900000359863
22,ArrowHead,0,threshold=0.001,0.8057142857142857,16112,20000,0.8056,0.014271799998823553
23,ArrowHead,0,threshold=0.01,0.76,10135,20000,0.50675,0.007625000027474016
24,BME,0,no_selection (baseline),1.0,20000,20000,1.0,0.008532300009392202
25,BME,0,threshold=0.0,1.0,19797,20000,0.98985,0.01127950003137812
26,BME,0,threshold=0.001,1.0,16644,20000,0.8322,0.009494800004176795
27,BME,0,threshold=0.01,0.98,10867,20000,0.54335,0.007319299969822168
28,Beef,0,no_selection (baseline),0.8,20000,20000,1.0,0.008181700017303228
29,Beef,0,threshold=0.0,0.8,19967,20000,0.99835,0.010305599949788302
30,Beef,0,threshold=0.001,0.8333333333333334,16149,20000,0.80745,0.008866599993780255
31,Beef,0,threshold=0.01,0.7333333333333333,10630,20000,0.5315,0.006574500002898276
32,BeetleFly,0,no_selection (baseline),0.9,20000,20000,1.0,0.005917200003750622
33,BeetleFly,0,threshold=0.0,0.9,19830,20000,0.9915,0.007990000012796372
34,BeetleFly,0,threshold=0.001,0.9,16048,20000,0.8024,0.006838399975094944
35,BeetleFly,0,threshold=0.01,0.85,10380,20000,0.519,0.005423899972811341
36,BirdChicken,0,no_selection (baseline),0.9,20000,20000,1.0,0.005879300006199628
37,BirdChicken,0,threshold=0.0,0.9,19605,20000,0.98025,0.007963399984873831
38,BirdChicken,0,threshold=0.001,0.9,16902,20000,0.8451,0.007155500003136694
39,BirdChicken,0,threshold=0.01,0.8,10010,20000,0.5005,0.005061800009571016
40,CBF,0,no_selection (baseline),1.0,20000,20000,1.0,0.008519999973941594
41,CBF,0,threshold=0.0,1.0,20000,20000,1.0,0.008733700029551983
42,CBF,0,threshold=0.001,1.0,19043,20000,0.95215,0.008837999950628728
43,CBF,0,threshold=0.01,0.9933333333333333,11975,20000,0.59875,0.0058194000157527626
44,Car,0,no_selection (baseline),0.9,20000,20000,1.0,0.01536429999396205
45,Car,0,threshold=0.0,0.9,18760,20000,0.938,0.017237399995792657
46,Car,0,threshold=0.001,0.8833333333333333,12646,20000,0.6323,0.012150400027167052
47,Car,0,threshold=0.01,0.8833333333333333,8186,20000,0.4093,0.009162500035017729
48,Chinatown,0,no_selection (baseline),0.9825072886297376,20000,20000,1.0,0.008459099975880235
49,Chinatown,0,threshold=0.0,0.9825072886297376,19640,20000,0.982,0.009049100044649094
50,Chinatown,0,threshold=0.001,0.9825072886297376,19175,20000,0.95875,0.006845500029157847
51,Chinatown,0,threshold=0.01,0.9795918367346939,11159,20000,0.55795,0.006970499991439283
52,ChlorineConcentration,0,no_selection (baseline),0.8231770833333333,20000,20000,1.0,0.14820850000251085
53,ChlorineConcentration,0,threshold=0.0,0.8231770833333333,20000,20000,1.0,0.19987859996035695
54,ChlorineConcentration,0,threshold=0.001,0.8296875,19256,20000,0.9628,0.1985768000013195
55,ChlorineConcentration,0,threshold=0.01,0.79765625,10184,20000,0.5092,0.1201858000131324
56,CinCECGTorso,0,no_selection (baseline),0.8326086956521739,20000,20000,1.0,0.009411900013219565
57,CinCECGTorso,0,threshold=0.0,0.8326086956521739,19998,20000,0.9999,0.010921499982941896
58,CinCECGTorso,0,threshold=0.001,0.8442028985507246,17126,20000,0.8563,0.009369799983687699
59,CinCECGTorso,0,threshold=0.01,0.8565217391304348,10670,20000,0.5335,0.006753999972715974
60,Coffee,0,no_selection (baseline),1.0,20000,20000,1.0,0.010375500016380101
61,Coffee,0,threshold=0.0,1.0,19779,20000,0.98895,0.011667500017210841
62,Coffee,0,threshold=0.001,1.0,10538,20000,0.5269,0.008021899964660406
63,Coffee,0,threshold=0.01,1.0,9366,20000,0.4683,0.006702500046230853
64,Computers,0,no_selection (baseline),0.764,20000,20000,1.0,0.1142280999920331
65,Computers,0,threshold=0.0,0.764,20000,20000,1.0,0.08782159996917471
66,Computers,0,threshold=0.001,0.764,19996,20000,0.9998,0.08800950000295416
67,Computers,0,threshold=0.01,0.752,15621,20000,0.78105,0.07036640000296757
68,CricketX,0,no_selection (baseline),0.8205128205128205,20000,20000,1.0,0.14867409999715164
69,CricketX,0,threshold=0.0,0.8205128205128205,20000,20000,1.0,0.14104189997306094
70,CricketX,0,threshold=0.001,0.8179487179487179,19590,20000,0.9795,0.14437959995120764
71,CricketX,0,threshold=0.01,0.7948717948717948,11673,20000,0.58365,0.11044809996383265
72,CricketY,0,no_selection (baseline),0.8512820512820513,20000,20000,1.0,0.13071170001057908
73,CricketY,0,threshold=0.0,0.8512820512820513,20000,20000,1.0,0.139397100021597
74,CricketY,0,threshold=0.001,0.8461538461538461,19689,20000,0.98445,0.14297179999994114
75,CricketY,0,threshold=0.01,0.8076923076923077,11524,20000,0.5762,0.0972063000081107
76,CricketZ,0,no_selection (baseline),0.8589743589743589,20000,20000,1.0,0.15307489997940138
77,CricketZ,0,threshold=0.0,0.8589743589743589,20000,20000,1.0,0.13841359998332337
78,CricketZ,0,threshold=0.001,0.8641025641025641,19601,20000,0.98005,0.14645679999375716
79,CricketZ,0,threshold=0.01,0.8153846153846154,11717,20000,0.58585,0.11434400000143796
80,Crop,0,no_selection (baseline),0.7792261904761905,20000,20000,1.0,13.707483900012448
81,Crop,0,threshold=0.0,0.7792261904761905,19727,20000,0.98635,15.242464000009932
82,Crop,0,threshold=0.001,0.7811904761904762,16867,20000,0.84335,13.272780100000091
83,Crop,0,threshold=0.01,0.7669642857142858,12340,20000,0.617,12.512746499967761
84,DiatomSizeReduction,0,no_selection (baseline),0.9771241830065359,20000,20000,1.0,0.004740900010801852
