,dataset,run,accuracy
0,ACSF1,0,0.87
1,ACSF1,1,0.9
2,ACSF1,2,0.88
3,ACSF1,3,0.85
4,ACSF1,4,0.89
5,ACSF1,5,0.88
6,ACSF1,6,0.89
7,ACSF1,7,0.88
8,ACSF1,8,0.89
9,ACSF1,9,0.9
10,ACSF1,10,0.87
11,ACSF1,11,0.88
12,ACSF1,12,0.91
13,ACSF1,13,0.87
14,ACSF1,14,0.89
15,ACSF1,15,0.89
16,ACSF1,16,0.88
17,ACSF1,17,0.9
18,ACSF1,18,0.89
19,ACSF1,19,0.88
20,ACSF1,20,0.87
21,ACSF1,21,0.89
22,ACSF1,22,0.88
23,ACSF1,23,0.9
24,ACSF1,24,0.89
25,ACSF1,25,0.87
26,ACSF1,26,0.88
27,ACSF1,27,0.9
28,ACSF1,28,0.88
29,ACSF1,29,0.88
30,Adiac,0,0.7749360613810742
31,Adiac,1,0.7800511508951407
32,Adiac,2,0.782608695652174
33,Adiac,3,0.7851662404092071
34,Adiac,4,0.7851662404092071
35,Adiac,5,0.7928388746803069
36,Adiac,6,0.782608695652174
37,Adiac,7,0.7877237851662404
38,Adiac,8,0.7902813299232737
39,Adiac,9,0.782608695652174
40,Adiac,10,0.7774936061381074
41,Adiac,11,0.7928388746803069
42,Adiac,12,0.782608695652174
43,Adiac,13,0.7800511508951407
44,Adiac,14,0.7800511508951407
45,Adiac,15,0.7851662404092071
46,Adiac,16,0.7698209718670077
47,Adiac,17,0.7851662404092071
48,Adiac,18,0.7902813299232737
49,Adiac,19,0.7800511508951407
50,Adiac,20,0.7902813299232737
51,Adiac,21,0.7774936061381074
52,Adiac,22,0.7800511508951407
53,Adiac,23,0.782608695652174
54,Adiac,24,0.7902813299232737
55,Adiac,25,0.7928388746803069
56,Adiac,26,0.7774936061381074
57,Adiac,27,0.782608695652174
58,Adiac,28,0.7774936061381074
59,Adiac,29,0.782608695652174
60,AllGestureWiimoteX,0,0.7328571428571429
61,AllGestureWiimoteX,1,0.7314285714285714
62,AllGestureWiimoteX,2,0.73
63,AllGestureWiimoteX,3,0.7285714285714285
64,AllGestureWiimoteX,4,0.7314285714285714
65,AllGestureWiimoteX,5,0.73
66,AllGestureWiimoteX,6,0.7357142857142858
67,AllGestureWiimoteX,7,0.7357142857142858
68,AllGestureWiimoteX,8,0.73
69,AllGestureWiimoteX,9,0.7314285714285714
70,AllGestureWiimoteX,10,0.73
71,AllGestureWiimoteX,11,0.7314285714285714
72,AllGestureWiimoteX,12,0.73
73,AllGestureWiimoteX,13,0.7285714285714285
74,AllGestureWiimoteX,14,0.7342857142857143
75,AllGestureWiimoteX,15,0.7385714285714285
76,AllGestureWiimoteX,16,0.7314285714285714
77,AllGestureWiimoteX,17,0.7328571428571429
78,AllGestureWiimoteX,18,0.7342857142857143
79,AllGestureWiimoteX,19,0.7328571428571429
80,AllGestureWiimoteX,20,0.7328571428571429
81,AllGestureWiimoteX,21,0.7314285714285714
82,AllGestureWiimoteX,22,0.7285714285714285
83,AllGestureWiimoteX,23,0.7228571428571429
84,AllGestureWiimoteX,24,0.7314285714285714
85,AllGestureWiimoteX,25,0.7314285714285714
86,AllGestureWiimoteX,26,0.7357142857142858
87,AllGestureWiimoteX,27,0.7342857142857143
88,AllGestureWiimoteX,28,0.73
89,AllGestureWiimoteX,29,0.7242857142857143
90,AllGestureWiimoteY,0,0.7242857142857143
91,AllGestureWiimoteY,1,0.7285714285714285
92,AllGestureWiimoteY,2,0.7242857142857143
93,AllGestureWiimoteY,3,0.7357142857142858
94,AllGestureWiimoteY,4,0.7285714285714285
95,AllGestureWiimoteY,5,0.7285714285714285
96,AllGestureWiimoteY,6,0.7242857142857143
97,AllGestureWiimoteY,7,0.7328571428571429
98,AllGestureWiimoteY,8,0.7285714285714285
99,AllGestureWiimoteY,9,0.7257142857142858
100,AllGestureWiimoteY,10,0.7314285714285714
101,AllGestureWiimoteY,11,0.7257142857142858
102,AllGestureWiimoteY,12,0.7371428571428571
103,AllGestureWiimoteY,13,0.7314285714285714
104,AllGestureWiimoteY,14,0.73
105,AllGestureWiimoteY,15,0.73
106,AllGestureWiimoteY,16,0.7242857142857143
107,AllGestureWiimoteY,17,0.73
108,AllGestureWiimoteY,18,0.7228571428571429
109,AllGestureWiimoteY,19,0.7328571428571429
110,AllGestureWiimoteY,20,0.7328571428571429
