dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.8729999999999999,0.01100000000000001,0.5277246599973295,0.504348189997836
Adiac,0.7851662404092072,0.0069572739175117375,0.35747775999770964,0.24111718999629375
AllGestureWiimoteX,0.7301428571428572,0.0035254179083580198,0.6060015500028385,1.1659806100040442
AllGestureWiimoteY,0.7285714285714284,0.0015649215928719017,0.5794214100023964,1.0988674199965316
AllGestureWiimoteZ,0.7082857142857143,0.005488392203513872,0.5667550500002108,1.096780600004422
ArrowHead,0.8068571428571429,0.008398250546685195,0.04796160999976565,0.15675516000046627
BME,1.0,0.0,0.026189709996106106,0.07279929999785963
Beef,0.7966666666666666,0.009999999999999998,0.07004517999739619,0.06449496000132057
BeetleFly,0.8950000000000001,0.015000000000000015,0.04266216999967582,0.03918031000212068
BirdChicken,0.9,0.0,0.04321545999846421,0.038087009997980203
CBF,1.0,0.0,0.02591275999729987,0.4213804500017432
Car,0.8916666666666666,0.011180339887498959,0.13810482000117189,0.12572093999624484
Chinatown,0.9825072886297376,0.0,0.009122840002237353,0.05420929999963846
ChlorineConcentration,0.8132031249999999,0.007859278357037808,0.38719201000349135,2.0741805699974067
CinCECGTorso,0.8379710144927536,0.0030606829104265006,0.24176281000400196,6.839324370004761
Coffee,1.0,0.0,0.045411239996610675,0.0397548300010385
Computers,0.7724,0.007472616676907768,0.6355850199994166,0.5714865999951143
CricketX,0.8179487179487179,0.004727971516560438,0.494108820000838,0.37598460000153866
CricketY,0.8507692307692307,0.004971979340939831,0.49528894000250145,0.3758289099991089
CricketZ,0.8523076923076923,0.006993939331787612,0.5016654399951221,0.3774475400001393
Crop,0.7787976190476191,0.0014307523035784486,15.546881060003944,3.223757270000351
DiatomSizeReduction,0.9735294117647058,0.0039890704626580585,0.029108150002139156,0.33570739999995564
DistalPhalanxOutlineAgeGroup,0.7410071942446044,0.010174198290453905,0.2563186599945766,0.0433775700017577
DistalPhalanxOutlineCorrect,0.7601449275362319,0.009962121075990954,0.38156428999645864,0.08449347999703605
DistalPhalanxTW,0.6935251798561151,0.007336718724593936,0.25157614000054307,0.04317932999547338
DodgerLoopDay,0.53,0.015000000000000029,0.10184182000375586,0.08536668999877292
DodgerLoopGame,0.8681159420289856,0.004347826086956497,0.026969660002214367,0.1296163600025466
DodgerLoopWeekend,0.9637681159420289,0.0,0.027227850003691857,0.13169336000428303
ECG200,0.917,0.004582575694955844,0.06275566999829607,0.0409182299990789
ECG5000,0.9473111111111111,0.00037777777777777885,0.3878702899994096,2.0833672600027056
ECGFiveDays,1.0,0.0,0.019417780001822392,0.4142134300011094
