,dataset,variant,accuracy_mean,accuracy_std
0,Adiac,with_bias (default),0.7828644501278773,0.005172314172930108
1,Adiac,no_bias,0.7731457800511508,0.004859335038363181
2,ArrowHead,with_bias (default),0.8125714285714286,0.007999999999999986
3,ArrowHead,no_bias,0.7657142857142858,0.007666518779999263
4,Beef,with_bias (default),0.8,0.014907119849998594
5,Beef,no_bias,0.8433333333333334,0.015275252316519463
6,BeetleFly,with_bias (default),0.9,0.0
7,BeetleFly,no_bias,0.8899999999999999,0.03741657386773941
8,BirdChicken,with_bias (default),0.9,0.0
9,BirdChicken,no_bias,0.9,0.0
10,CBF,with_bias (default),1.0,0.0
11,CBF,no_bias,0.9922222222222222,0.0008606629658238329
12,Car,with_bias (default),0.8983333333333332,0.011666666666666667
13,Car,no_bias,0.9066666666666666,0.008164965809277232
14,ChlorineConcentration,with_bias (default),0.8153645833333334,0.005072446076735459
15,ChlorineConcentration,no_bias,0.7930208333333333,0.0067596060762115055
16,CinCECGTorso,with_bias (default),0.8360869565217393,0.004197898074771078
17,CinCECGTorso,no_bias,0.7764492753623189,0.004265525406597502
18,Coffee,with_bias (default),1.0,0.0
19,Coffee,no_bias,1.0,0.0
20,Computers,with_bias (default),0.7728,0.009260669522232189
21,Computers,no_bias,0.7312000000000001,0.009086253353280446
22,CricketX,with_bias (default),0.8192307692307692,0.004478012614505877
23,CricketX,no_bias,0.7935897435897437,0.005875097044815209
24,CricketY,with_bias (default),0.8517948717948718,0.004837939042080315
25,CricketY,no_bias,0.8317948717948717,0.006089406198480993
26,CricketZ,with_bias (default),0.8571794871794873,0.006979824404521148
27,CricketZ,no_bias,0.8202564102564102,0.006632060080193625
28,DiatomSizeReduction,with_bias (default),0.9741830065359476,0.0039890704626580585
29,DiatomSizeReduction,no_bias,0.9683006535947711,0.001497573756521511
30,DistalPhalanxOutlineAgeGroup,with_bias (default),0.7496402877697841,0.007748438571416579
31,DistalPhalanxOutlineAgeGroup,no_bias,0.7438848920863309,0.011237769317851299
32,DistalPhalanxOutlineCorrect,with_bias (default),0.7663043478260869,0.006327626520497457
33,DistalPhalanxOutlineCorrect,no_bias,0.761231884057971,0.009371389243751855
34,DistalPhalanxTW,with_bias (default),0.69568345323741,0.009678866220916314
35,DistalPhalanxTW,no_bias,0.697841726618705,0.009100079597606834
36,ECG200,with_bias (default),0.9179999999999999,0.0040000000000000036
37,ECG200,no_bias,0.876,0.00489897948556636
38,ECG5000,with_bias (default),0.9470222222222222,0.000704132423011348
39,ECG5000,no_bias,0.9480000000000001,0.00046613726585337934
40,ECGFiveDays,with_bias (default),1.0,0.0
41,ECGFiveDays,no_bias,1.0,0.0
42,Earthquakes,with_bias (default),0.7510791366906474,0.006593634093461654
43,Earthquakes,no_bias,0.7489208633093525,0.006787036785652228
44,ElectricDevices,with_bias (default),0.7294644015043443,0.0023668465061738
45,ElectricDevices,no_bias,0.6597587861496563,0.002182562000924537
46,FaceAll,with_bias (default),0.9466272189349112,0.0029084510597501725
47,FaceAll,no_bias,0.9489940828402368,0.0025491904412470925
48,FaceFour,with_bias (default),0.9761363636363637,0.003409090909090906
49,FaceFour,no_bias,0.9772727272727272,1.1102230246251565e-16
50,FacesUCR,with_bias (default),0.9627317073170731,0.0009558984362080704
51,FacesUCR,no_bias,0.9614634146341462,0.0008449028329604287
52,FiftyWords,with_bias (default),0.8279120879120878,0.004401095471318887
53,FiftyWords,no_bias,0.8182417582417582,0.0036841878273055273
