,dataset,variant,accuracy_mean,accuracy_std
0,Adiac,with_dilation (default),0.7838874680306905,0.00597064835290475
1,Adiac,no_dilation,0.7483375959079284,0.007161125319693094
2,ArrowHead,with_dilation (default),0.8062857142857143,0.0069751746375621175
3,ArrowHead,no_dilation,0.713142857142857,0.0042761798705988055
4,Beef,with_dilation (default),0.8,0.0
5,Beef,no_dilation,0.7266666666666666,0.01333333333333333
6,BeetleFly,with_dilation (default),0.9,0.0
7,BeetleFly,no_dilation,0.675,0.040311288741492736
8,BirdChicken,with_dilation (default),0.9,0.0
9,BirdChicken,no_dilation,0.9299999999999999,0.024494897427831747
10,CBF,with_dilation (default),1.0,0.0
11,CBF,no_dilation,0.9826666666666666,0.0015071844406944728
12,Car,with_dilation (default),0.9016666666666666,0.01166666666666666
13,Car,no_dilation,0.8666666666666666,0.012909944487358053
14,ChlorineConcentration,with_dilation (default),0.8132552083333332,0.004086882625181923
15,ChlorineConcentration,no_dilation,0.795234375,0.005539044747072319
16,CinCECGTorso,with_dilation (default),0.8341304347826087,0.003948444268355147
17,CinCECGTorso,no_dilation,0.7166666666666666,0.004861017342390871
18,Coffee,with_dilation (default),1.0,0.0
19,Coffee,no_dilation,1.0,0.0
20,Computers,with_dilation (default),0.7756000000000001,0.007031358332498784
21,Computers,no_dilation,0.7544000000000001,0.004800000000000005
22,CricketX,with_dilation (default),0.8182051282051281,0.005897435897435899
23,CricketX,no_dilation,0.6923076923076923,0.00458680610769186
24,CricketY,with_dilation (default),0.8533333333333333,0.005229763603684907
25,CricketY,no_dilation,0.6771794871794873,0.009894246862346032
26,CricketZ,with_dilation (default),0.8556410256410258,0.004448551685358353
27,CricketZ,no_dilation,0.7135897435897436,0.007610677989567082
28,DiatomSizeReduction,with_dilation (default),0.9741830065359476,0.003411864872192978
29,DiatomSizeReduction,no_dilation,0.9049019607843137,0.0039890704626580585
30,DistalPhalanxOutlineAgeGroup,with_dilation (default),0.7467625899280576,0.008985608630789073
31,DistalPhalanxOutlineAgeGroup,no_dilation,0.7633093525179856,0.011799438465364567
32,DistalPhalanxOutlineCorrect,with_dilation (default),0.7655797101449275,0.008270081311966177
33,DistalPhalanxOutlineCorrect,no_dilation,0.7865942028985506,0.006768674526184557
34,DistalPhalanxTW,with_dilation (default),0.6964028776978417,0.012788768945777832
35,DistalPhalanxTW,no_dilation,0.685611510791367,0.01404260524887995
36,ECG200,with_dilation (default),0.9179999999999999,0.0040000000000000036
37,ECG200,no_dilation,0.869,0.007000000000000006
38,ECG5000,with_dilation (default),0.9473555555555555,0.0006398302243950303
39,ECG5000,no_dilation,0.9447777777777778,0.00040061680838491024
40,ECGFiveDays,with_dilation (default),1.0,0.0
41,ECGFiveDays,no_dilation,0.9938443670150988,0.0007436845804219761
42,Earthquakes,with_dilation (default),0.7525179856115107,0.0065936340934616535
43,Earthquakes,no_dilation,0.7438848920863309,0.005755395683453249
44,ElectricDevices,with_dilation (default),0.7300739203734923,0.0025074494179446434
45,ElectricDevices,no_dilation,0.7190247698093633,0.003380872263270435
