,dataset,feature_type,accuracy_mean,accuracy_std
0,Adiac,both (default),0.7861892583120206,0.006785933074895952
1,Adiac,ppv_only,0.779539641943734,0.0037588077894371123
2,Adiac,max_only,0.7652173913043478,0.021965125886019336
3,ArrowHead,both (default),0.7994285714285715,0.0047466422073817694
4,ArrowHead,ppv_only,0.8394285714285715,0.011835608672690285
5,ArrowHead,max_only,0.7651428571428571,0.0069751746375621305
6,Beef,both (default),0.8066666666666666,0.024944382578492935
7,Beef,ppv_only,0.8099999999999999,0.015275252316519465
8,Beef,max_only,0.6933333333333334,0.01333333333333333
9,BeetleFly,both (default),0.9,0.0
10,BeetleFly,ppv_only,0.9499999999999998,1.1102230246251565e-16
11,BeetleFly,max_only,0.8700000000000001,0.033166247903554005
12,BirdChicken,both (default),0.9,0.0
13,BirdChicken,ppv_only,0.9,0.0
14,BirdChicken,max_only,0.8150000000000001,0.02291287847477917
15,CBF,both (default),1.0,0.0
16,CBF,ppv_only,0.9988888888888889,0.0
17,CBF,max_only,0.9892222222222221,0.001927705730321951
18,Car,both (default),0.9,0.012909944487358053
19,Car,ppv_only,0.9216666666666665,0.0076376261582597575
20,Car,max_only,0.8949999999999999,0.0076376261582597575
21,ChlorineConcentration,both (default),0.8130208333333334,0.00964526523705055
22,ChlorineConcentration,ppv_only,0.764140625,0.0056023487796600414
23,ChlorineConcentration,max_only,0.7879947916666667,0.08829219219920871
24,CinCECGTorso,both (default),0.8326811594202898,0.007794151157793354
25,CinCECGTorso,ppv_only,0.802536231884058,0.008364779985953065
26,CinCECGTorso,max_only,0.8547101449275362,0.007525424245975472
27,Coffee,both (default),1.0,0.0
28,Coffee,ppv_only,1.0,0.0
29,Coffee,max_only,1.0,0.0
30,Computers,both (default),0.7704,0.008616263691415214
31,Computers,ppv_only,0.7792,0.006645299090334466
32,Computers,max_only,0.6839999999999999,0.011865917579353027
33,CricketX,both (default),0.8192307692307692,0.006512012871384743
34,CricketX,ppv_only,0.8276923076923076,0.009442026994626661
35,CricketX,max_only,0.7723076923076923,0.006363935203072241
36,CricketY,both (default),0.8494871794871794,0.006491789180088265
37,CricketY,ppv_only,0.8512820512820513,0.008956025229011769
38,CricketY,max_only,0.7705128205128204,0.00598595770765579
39,CricketZ,both (default),0.8556410256410258,0.006691276077282008
