,dataset,num_kernels,accuracy_mean,accuracy_std
0,Adiac,100,0.6813299232736573,0.010862793136365893
1,Adiac,500,0.742455242966752,0.008563002067919784
2,Adiac,1000,0.7601023017902813,0.0068435233556315405
3,Adiac,2500,0.7820971867007673,0.005340310234736862
4,Adiac,5000,0.7849104859335039,0.009934999795168823
5,Adiac,10000,0.7846547314578005,0.006649616368286453
6,ArrowHead,100,0.7828571428571428,0.032223707839706704
7,ArrowHead,500,0.7977142857142858,0.021864144536810275
8,ArrowHead,1000,0.8188571428571428,0.016767315144138525
9,ArrowHead,2500,0.8068571428571427,0.013474086997201842
10,ArrowHead,5000,0.8057142857142857,0.012777531299998802
11,ArrowHead,10000,0.8085714285714285,0.005855400437691188
12,Beef,100,0.77,0.027688746209726955
13,Beef,500,0.8233333333333335,0.03666666666666666
14,Beef,1000,0.8166666666666667,0.030731814857642953
15,Beef,2500,0.8066666666666666,0.019999999999999997
16,Beef,5000,0.8033333333333333,0.009999999999999998
17,Beef,10000,0.7966666666666666,0.01795054935711501
18,BeetleFly,100,0.85,0.07416198487095663
19,BeetleFly,500,0.9049999999999999,0.026925824035672508
20,BeetleFly,1000,0.89,0.020000000000000018
21,BeetleFly,2500,0.8950000000000001,0.015000000000000015
22,BeetleFly,5000,0.9,0.0
23,BeetleFly,10000,0.89,0.020000000000000018
24,BirdChicken,100,0.865,0.03905124837953327
25,BirdChicken,500,0.89,0.029999999999999992
26,BirdChicken,1000,0.8700000000000001,0.039999999999999994
27,BirdChicken,2500,0.9,0.0
28,BirdChicken,5000,0.9,0.0
29,BirdChicken,10000,0.9,0.0
30,CBF,100,0.9958888888888888,0.0032979604621457366
31,CBF,500,0.9995555555555555,0.0007370277311900835
32,CBF,1000,0.9995555555555555,0.0005443310539517937
33,CBF,2500,0.9998888888888888,0.0003333333333333188
34,CBF,5000,0.9998888888888888,0.0003333333333333188
35,CBF,10000,1.0,0.0
36,Car,100,0.8866666666666667,0.014529663145135577
37,Car,500,0.9066666666666666,0.015275252316519466
38,Car,1000,0.8966666666666667,0.012472191289246475
39,Car,2500,0.9033333333333333,0.009999999999999988
40,Car,5000,0.9,0.007453559924999297
41,Car,10000,0.8999999999999998,0.010540925533894595
42,ChlorineConcentration,100,0.5864843750000001,0.012198206879909428
43,ChlorineConcentration,500,0.6713020833333333,0.03617763970442701
44,ChlorineConcentration,1000,0.70359375,0.03290265392664649
45,ChlorineConcentration,2500,0.769296875,0.024482338557798758
46,ChlorineConcentration,5000,0.7962239583333334,0.014418360968900519
47,ChlorineConcentration,10000,0.8118229166666666,0.00635459356489462
48,CinCECGTorso,100,0.7936231884057972,0.04286622362063427
49,CinCECGTorso,500,0.8296376811594202,0.015485729349454679
50,CinCECGTorso,1000,0.838840579710145,0.018687224254729896
51,CinCECGTorso,2500,0.8288405797101449,0.005478567585923413
52,CinCECGTorso,5000,0.8311594202898551,0.004200399056866512
53,CinCECGTorso,10000,0.836014492753623,0.00534515466837972
54,Coffee,100,1.0,0.0
55,Coffee,500,1.0,0.0
56,Coffee,1000,1.0,0.0
57,Coffee,2500,1.0,0.0
58,Coffee,5000,1.0,0.0
59,Coffee,10000,1.0,0.0
60,Computers,100,0.752,0.01983935482821961
61,Computers,500,0.7687999999999999,0.011142710621747305
62,Computers,1000,0.7692,0.012006664815842918
63,Computers,2500,0.7647999999999999,0.011702991070662246
64,Computers,5000,0.7684000000000001,0.011092339699089647
65,Computers,10000,0.7724,0.0065604877867426956
66,CricketX,100,0.7348717948717949,0.011872653233630999
67,CricketX,500,0.7784615384615384,0.006506962841256141
68,CricketX,1000,0.7894871794871795,0.008841507512598299
69,CricketX,2500,0.8087179487179487,0.009400155271704274
70,CricketX,5000,0.8182051282051281,0.006827449720868887
71,CricketX,10000,0.8197435897435896,0.00803100500685426
72,CricketY,100,0.7492307692307693,0.023071224367593846
73,CricketY,500,0.8084615384615385,0.009105272258751138
74,CricketY,1000,0.8279487179487178,0.012267562783493013
75,CricketY,2500,0.8412820512820514,0.008063684714623761
76,CricketY,5000,0.8430769230769231,0.006567306910187514
77,CricketY,10000,0.8515384615384616,0.006827449720868872
78,CricketZ,100,0.7623076923076922,0.008584958483478577
79,CricketZ,500,0.8148717948717948,0.013411996749355892
80,CricketZ,1000,0.8356410256410255,0.010475229854264355
81,CricketZ,2500,0.8451282051282052,0.007536891516255906
82,CricketZ,5000,0.8530769230769231,0.007610677989567097
83,CricketZ,10000,0.8538461538461538,0.006686361441233488
84,DiatomSizeReduction,100,0.9568627450980391,0.012890903871448376
85,DiatomSizeReduction,500,0.9666666666666666,0.008241516479031685
86,DiatomSizeReduction,1000,0.9653594771241829,0.008420979559951056
87,DiatomSizeReduction,2500,0.9679738562091502,0.007705768707550035
88,DiatomSizeReduction,5000,0.9702614379084966,0.006445451935724166
89,DiatomSizeReduction,10000,0.9718954248366012,0.00688604820447889
90,DistalPhalanxOutlineAgeGroup,100,0.7597122302158273,0.018538271549244787
91,DistalPhalanxOutlineAgeGroup,500,0.7517985611510791,0.019898297389840763
92,DistalPhalanxOutlineAgeGroup,1000,0.7510791366906474,0.010275436587831465
93,DistalPhalanxOutlineAgeGroup,2500,0.7453237410071942,0.010275436587831425
94,DistalPhalanxOutlineAgeGroup,5000,0.7489208633093525,0.015580149516336475
95,DistalPhalanxOutlineAgeGroup,10000,0.7453237410071942,0.008011171745079166
96,DistalPhalanxOutlineCorrect,100,0.7615942028985507,0.011884941642649808
97,DistalPhalanxOutlineCorrect,500,0.7626811594202898,0.01386786899203236
98,DistalPhalanxOutlineCorrect,1000,0.7713768115942029,0.012065815800975883
99,DistalPhalanxOutlineCorrect,2500,0.7663043478260869,0.010279899245732688
100,DistalPhalanxOutlineCorrect,5000,0.7692028985507247,0.008109793219420071
101,DistalPhalanxOutlineCorrect,10000,0.7670289855072463,0.009862795354214634
102,DistalPhalanxTW,100,0.6949640287769785,0.017085384297896272
103,DistalPhalanxTW,500,0.7093525179856115,0.01825694610136621
104,DistalPhalanxTW,1000,0.7071942446043165,0.01877408395784157
105,DistalPhalanxTW,2500,0.6942446043165468,0.014478137983811576
106,DistalPhalanxTW,5000,0.6913669064748201,0.00597598839058855
107,DistalPhalanxTW,10000,0.6956834532374101,0.011168471004503603
108,ECG200,100,0.885,0.02459674775249771
109,ECG200,500,0.8880000000000001,0.012489995996796807
110,ECG200,1000,0.8930000000000001,0.013453624047073722
111,ECG200,2500,0.906,0.006633249580710806
112,ECG200,5000,0.9179999999999999,0.0040000000000000036
113,ECG200,10000,0.9189999999999999,0.0030000000000000027
114,ECG5000,100,0.9449555555555555,0.0015840251899730303
115,ECG5000,500,0.9453777777777779,0.0007875575620741907
116,ECG5000,1000,0.9470000000000001,0.0010434983894998934
117,ECG5000,2500,0.9467333333333334,0.0007636817901084269
118,ECG5000,5000,0.9476666666666667,0.0004581228472908366
119,ECG5000,10000,0.9471333333333332,0.0003777777777777991
120,ECGFiveDays,100,0.9997677119628339,0.0006968641114982521
121,ECGFiveDays,500,1.0,0.0
122,ECGFiveDays,1000,1.0,0.0
123,ECGFiveDays,2500,1.0,0.0
124,ECGFiveDays,5000,1.0,0.0
125,ECGFiveDays,10000,1.0,0.0
126,Earthquakes,100,0.7482014388489209,0.0
127,Earthquakes,500,0.7482014388489209,0.0
128,Earthquakes,1000,0.7482014388489209,0.0
129,Earthquakes,2500,0.7489208633093525,0.0021582733812949505
130,Earthquakes,5000,0.7525179856115107,0.00477212200051136
131,Earthquakes,10000,0.7546762589928057,0.00597598839058855
132,ElectricDevices,100,0.7050966152250032,0.01766410702692325
133,ElectricDevices,500,0.7239527947088575,0.007299818137981134
134,ElectricDevices,1000,0.7239527947088574,0.0035283817854479924
135,ElectricDevices,2500,0.7303462585916224,0.002905664591131893
136,ElectricDevices,5000,0.7281805213331605,0.002382816045204164
