,dataset,variant,accuracy_mean,accuracy_std
0,Adiac,random_padding (default),0.7843989769820972,0.004992128208681127
1,Adiac,no_padding,0.7728900255754476,0.005216388249199785
2,Adiac,always_padding,0.7849104859335039,0.005172314172930102
3,ArrowHead,random_padding (default),0.8074285714285715,0.006785338335450225
4,ArrowHead,no_padding,0.8417142857142856,0.0076877851697564
5,ArrowHead,always_padding,0.788,0.005965889433663176
6,Beef,random_padding (default),0.8099999999999999,0.02134374745810949
7,Beef,no_padding,0.79,0.015275252316519463
8,Beef,always_padding,0.8533333333333335,0.016329931618554516
9,BeetleFly,random_padding (default),0.9,0.0
10,BeetleFly,no_padding,0.905,0.014999999999999979
11,BeetleFly,always_padding,0.9,0.0
12,BirdChicken,random_padding (default),0.9,0.0
13,BirdChicken,no_padding,0.9,0.0
14,BirdChicken,always_padding,0.8099999999999999,0.029999999999999992
15,CBF,random_padding (default),1.0,0.0
16,CBF,no_padding,0.9996666666666666,0.0005091750772172934
17,CBF,always_padding,0.9991111111111112,0.00044444444444442506
18,Car,random_padding (default),0.8966666666666665,0.012472191289246475
19,Car,no_padding,0.9,0.007453559924999297
20,Car,always_padding,0.9216666666666666,0.010671873729054752
21,ChlorineConcentration,random_padding (default),0.8130468750000001,0.011442608765307975
22,ChlorineConcentration,no_padding,0.8200260416666666,0.00827490093355016
23,ChlorineConcentration,always_padding,0.7970572916666666,0.008378822782703937
24,CinCECGTorso,random_padding (default),0.836159420289855,0.0048874112257731046
25,CinCECGTorso,no_padding,0.8594927536231884,0.005503908217900926
26,CinCECGTorso,always_padding,0.7921739130434784,0.004523039575167305
27,Coffee,random_padding (default),1.0,0.0
28,Coffee,no_padding,1.0,0.0
29,Coffee,always_padding,1.0,0.0
30,Computers,random_padding (default),0.7736,0.008979977728257467
31,Computers,no_padding,0.7744000000000001,0.007200000000000007
32,Computers,always_padding,0.7692,0.004400000000000004
33,CricketX,random_padding (default),0.822051282051282,0.005523245956035406
34,CricketX,no_padding,0.813076923076923,0.0055529250840276
35,CricketX,always_padding,0.8325641025641024,0.006592287247273048
36,CricketY,random_padding (default),0.8512820512820513,0.0058470534620468405
37,CricketY,no_padding,0.8453846153846154,0.0036352427894250704
38,CricketY,always_padding,0.8523076923076923,0.0032836534550937566
39,CricketZ,random_padding (default),0.8538461538461538,0.003626188621469462
40,CricketZ,no_padding,0.847948717948718,0.004298219131856448
41,CricketZ,always_padding,0.8589743589743589,0.0062807429302133
42,DiatomSizeReduction,random_padding (default),0.9722222222222221,0.003935161627056291
43,DiatomSizeReduction,no_padding,0.9545751633986927,0.006768730450067989
44,DiatomSizeReduction,always_padding,0.9705882352941175,0.0048471885536572785
45,DistalPhalanxOutlineAgeGroup,random_padding (default),0.7446043165467626,0.010300590693004572
46,DistalPhalanxOutlineAgeGroup,no_padding,0.7453237410071942,0.007336718724593937
47,DistalPhalanxOutlineAgeGroup,always_padding,0.7388489208633093,0.00791366906474819
48,DistalPhalanxOutlineCorrect,random_padding (default),0.768840579710145,0.0066414140506606345
49,DistalPhalanxOutlineCorrect,no_padding,0.7663043478260869,0.008458418499948373
50,DistalPhalanxOutlineCorrect,always_padding,0.7652173913043478,0.008695652173913037
